Program;Threads;Test;Temps
Philosof;1;1;0.02
Philosof;1;2;0.02
Philosof;1;3;0.02
Philosof;1;4;0.02
Philosof;1;5;0.02
Philosof;2;1;0.08
Philosof;2;2;0.07
Philosof;2;3;0.07
Philosof;2;4;0.08
Philosof;2;5;0.07
Philosof;4;1;0.25
Philosof;4;2;0.21
Philosof;4;3;0.29
Philosof;4;4;0.19
Philosof;4;5;0.23
Philosof;8;1;0.28
Philosof;8;2;0.33
Philosof;8;3;0.35
Philosof;8;4;0.28
Philosof;8;5;0.35
Philosof;16;1;0.44
Philosof;16;2;0.48
Philosof;16;3;0.39
Philosof;16;4;0.51
Philosof;16;5;0.43
Philosof;32;1;0.76
Philosof;32;2;0.84
Philosof;32;3;0.80
Philosof;32;4;0.82
Philosof;32;5;0.85
Philosof;64;1;1.50
Philosof;64;2;1.54
Philosof;64;3;1.50
Philosof;64;4;1.49
Philosof;64;5;1.50
Philosof_AC;1;1;0.01
Philosof_AC;1;2;0.01
Philosof_AC;1;3;0.01
Philosof_AC;1;4;0.01
Philosof_AC;1;5;0.01
Philosof_AC;2;1;0.19
Philosof_AC;2;2;0.08
Philosof_AC;2;3;0.18
Philosof_AC;2;4;0.19
Philosof_AC;2;5;0.20
Philosof_AC;4;1;0.43
Philosof_AC;4;2;0.43
Philosof_AC;4;3;0.43
Philosof_AC;4;4;0.39
Philosof_AC;4;5;0.40
Philosof_AC;8;1;0.95
Philosof_AC;8;2;0.96
Philosof_AC;8;3;0.95
Philosof_AC;8;4;0.93
Philosof_AC;8;5;0.83
Philosof_AC;16;1;1.42
Philosof_AC;16;2;1.44
Philosof_AC;16;3;1.33
Philosof_AC;16;4;1.62
Philosof_AC;16;5;1.41
Philosof_AC;32;1;3.95
Philosof_AC;32;2;3.35
Philosof_AC;32;3;3.68
Philosof_AC;32;4;3.60
Philosof_AC;32;5;3.53
Philosof_AC;64;1;7.95
Philosof_AC;64;2;10.00
Philosof_AC;64;3;7.27
Philosof_AC;64;4;9.24
Philosof_AC;64;5;8.34
Producer_Consumer;1;1;0.38
Producer_Consumer;1;2;0.30
Producer_Consumer;1;3;0.41
Producer_Consumer;1;4;0.45
Producer_Consumer;1;5;0.48
Producer_Consumer;2;1;0.29
Producer_Consumer;2;2;0.23
Producer_Consumer;2;3;0.28
Producer_Consumer;2;4;0.22
Producer_Consumer;2;5;0.29
Producer_Consumer;4;1;0.12
Producer_Consumer;4;2;0.11
Producer_Consumer;4;3;0.13
Producer_Consumer;4;4;0.13
Producer_Consumer;4;5;0.14
Producer_Consumer;8;1;0.07
Producer_Consumer;8;2;0.07
Producer_Consumer;8;3;0.06
Producer_Consumer;8;4;0.06
Producer_Consumer;8;5;0.07
Producer_Consumer;16;1;0.04
Producer_Consumer;16;2;0.05
Producer_Consumer;16;3;0.04
Producer_Consumer;16;4;0.04
Producer_Consumer;16;5;0.05
Producer_Consumer;32;1;0.05
Producer_Consumer;32;2;0.05
Producer_Consumer;32;3;0.05
Producer_Consumer;32;4;0.06
Producer_Consumer;32;5;0.05
Producer_Consumer;64;1;0.05
Producer_Consumer;64;2;0.06
Producer_Consumer;64;3;0.06
Producer_Consumer;64;4;0.05
Producer_Consumer;64;5;0.05
Producer_Consumer_AC;1;1;0.48
Producer_Consumer_AC;1;2;0.48
Producer_Consumer_AC;1;3;0.80
Producer_Consumer_AC;1;4;0.46
Producer_Consumer_AC;1;5;0.48
Producer_Consumer_AC;2;1;0.30
Producer_Consumer_AC;2;2;0.29
Producer_Consumer_AC;2;3;0.30
Producer_Consumer_AC;2;4;0.18
Producer_Consumer_AC;2;5;0.29
Producer_Consumer_AC;4;1;0.13
Producer_Consumer_AC;4;2;0.13
Producer_Consumer_AC;4;3;0.10
Producer_Consumer_AC;4;4;0.10
Producer_Consumer_AC;4;5;0.10
Producer_Consumer_AC;8;1;0.10
