Program;Threads;Test;Temps
Philosof;1;1;0.02
Philosof;1;2;0.02
Philosof;1;3;0.02
Philosof;1;4;0.02
Philosof;1;5;0.02
Philosof;2;1;0.09
Philosof;2;2;0.10
Philosof;2;3;0.11
Philosof;2;4;0.09
Philosof;2;5;0.09
Philosof;4;1;0.25
Philosof;4;2;0.26
Philosof;4;3;0.24
Philosof;4;4;0.25
Philosof;4;5;0.22
Philosof;8;1;0.25
Philosof;8;2;0.29
Philosof;8;3;0.32
Philosof;8;4;0.35
Philosof;8;5;0.30
Philosof;16;1;0.51
Philosof;16;2;0.45
Philosof;16;3;0.49
Philosof;16;4;0.46
Philosof;16;5;0.52
Philosof;32;1;0.75
Philosof;32;2;0.71
Philosof;32;3;0.82
Philosof;32;4;0.85
Philosof;32;5;0.73
Philosof;64;1;1.52
Philosof;64;2;1.50
Philosof;64;3;1.56
Philosof;64;4;1.47
Philosof;64;5;1.50
Producer_Consumer;1;1;0.47
Producer_Consumer;1;2;0.44
Producer_Consumer;1;3;0.52
Producer_Consumer;1;4;0.26
Producer_Consumer;1;5;0.26
Producer_Consumer;2;1;0.24
Producer_Consumer;2;2;0.29
Producer_Consumer;2;3;0.22
Producer_Consumer;2;4;0.19
Producer_Consumer;2;5;0.19
Producer_Consumer;4;1;0.12
Producer_Consumer;4;2;0.15
Producer_Consumer;4;3;0.13
Producer_Consumer;4;4;0.14
Producer_Consumer;4;5;0.14
Producer_Consumer;8;1;0.06
Producer_Consumer;8;2;0.07
Producer_Consumer;8;3;0.06
Producer_Consumer;8;4;0.07
Producer_Consumer;8;5;0.07
Producer_Consumer;16;1;0.05
Producer_Consumer;16;2;0.06
Producer_Consumer;16;3;0.05
Producer_Consumer;16;4;0.05
Producer_Consumer;16;5;0.05
Producer_Consumer;32;1;0.06
Producer_Consumer;32;2;0.06
Producer_Consumer;32;3;0.06
Producer_Consumer;32;4;0.06
Producer_Consumer;32;5;0.06
Producer_Consumer;64;1;0.06
Producer_Consumer;64;2;0.05
Producer_Consumer;64;3;0.06
Producer_Consumer;64;4;0.06
Producer_Consumer;64;5;0.05
WriterReader;1;1;0.23
WriterReader;1;2;0.23
WriterReader;1;3;0.22
WriterReader;1;4;0.22
WriterReader;1;5;0.23
WriterReader;2;1;0.23
WriterReader;2;2;0.23
WriterReader;2;3;0.23
WriterReader;2;4;0.23
WriterReader;2;5;0.23
WriterReader;4;1;0.23
WriterReader;4;2;0.23
WriterReader;4;3;0.23
WriterReader;4;4;0.23
WriterReader;4;5;0.21
WriterReader;8;1;0.23
WriterReader;8;2;0.23
WriterReader;8;3;0.23
WriterReader;8;4;0.23
WriterReader;8;5;0.23
WriterReader;16;1;0.23
WriterReader;16;2;0.23
WriterReader;16;3;0.24
WriterReader;16;4;0.23
WriterReader;16;5;0.23
WriterReader;32;1;0.23
WriterReader;32;2;0.23
WriterReader;32;3;0.23
WriterReader;32;4;0.23
WriterReader;32;5;0.23
WriterReader;64;1;0.23
WriterReader;64;2;0.23
WriterReader;64;3;0.23
WriterReader;64;4;0.24
WriterReader;64;5;0.23
Test-and-set;1;1;0.41
Test-and-set;1;2;0.31
Test-and-set;1;3;0.42
Test-and-set;1;4;0.31
Test-and-set;1;5;0.42
Test-and-set;2;1;0.26
Test-and-set;2;2;0.42
Test-and-set;2;3;0.34
Test-and-set;2;4;0.30
Test-and-set;2;5;0.33
Test-and-set;4;1;0.39
Test-and-set;4;2;0.38
Test-and-set;4;3;0.36
Test-and-set;4;4;0.37
Test-and-set;4;5;0.36
Test-and-set;8;1;0.39
Test-and-set;8;2;0.33
Test-and-set;8;3;0.30
Test-and-set;8;4;0.35
Test-and-set;8;5;0.35
Test-and-set;16;1;0.36
Test-and-set;16;2;0.27
Test-and-set;16;3;0.38
Test-and-set;16;4;0.33
Test-and-set;16;5;0.31
Test-and-set;32;1;0.34
Test-and-set;32;2;0.28
Test-and-set;32;3;0.27
Test-and-set;32;4;0.30
Test-and-set;32;5;0.31
Test-and-set;64;1;0.42
Test-and-set;64;2;0.29
Test-and-set;64;3;0.28
Test-and-set;64;4;0.32
Test-and-set;64;5;0.29
Test-and-test-and-set;1;1;0.17
Test-and-test-and-set;1;2;0.42
Test-and-test-and-set;1;3;0.34
Test-and-test-and-set;1;4;0.17
Test-and-test-and-set;1;5;0.32
Test-and-test-and-set;2;1;0.30
Test-and-test-and-set;2;2;0.31
Test-and-test-and-set;2;3;0.35
Test-and-test-and-set;2;4;0.30
Test-and-test-and-set;2;5;0.38
Test-and-test-and-set;4;1;0.36
Test-and-test-and-set;4;2;0.36
Test-and-test-and-set;4;3;0.37
Test-and-test-and-set;4;4;0.37
Test-and-test-and-set;4;5;0.42
Test-and-test-and-set;8;1;0.39
Test-and-test-and-set;8;2;0.32
Test-and-test-and-set;8;3;0.28
Test-and-test-and-set;8;4;0.28
Test-and-test-and-set;8;5;0.28
Test-and-test-and-set;16;1;0.38
Test-and-test-and-set;16;2;0.38
Test-and-test-and-set;16;3;0.31
Test-and-test-and-set;16;4;0.37
Test-and-test-and-set;16;5;0.28
Test-and-test-and-set;32;1;0.38
Test-and-test-and-set;32;2;0.36
Test-and-test-and-set;32;3;0.20
Test-and-test-and-set;32;4;0.22
Test-and-test-and-set;32;5;0.26
Test-and-test-and-set;64;1;0.32
Test-and-test-and-set;64;2;0.26
Test-and-test-and-set;64;3;0.28
Test-and-test-and-set;64;4;0.26
Test-and-test-and-set;64;5;0.33
